case,cores,single_makespan,p1_makespan,p1_speedup,p2_makespan,p2_speedup
case_001,2,233110,116868,1.9946,116868,1.9946
case_001,3,233110,78545,2.9679,78545,2.9679
case_001,4,233110,58984,3.9521,58984,3.9521
case_001,5,233110,47502,4.9074,47502,4.9074
case_004,2,392357,199074,1.9709,199074,1.9709
case_004,3,392357,137467,2.8542,137467,2.8542
case_004,4,392357,107612,3.646,107612,3.646
case_004,5,392357,88393,4.4388,88393,4.4388
case_010,2,86969,46329,1.8772,46329,1.8772
case_010,3,86969,32289,2.6935,32289,2.6935
case_010,4,86969,29920,2.9067,29920,2.9067
case_010,5,86969,30972,2.808,30972,2.808
case_019,2,81144,41735,1.9443,41735,1.9443
case_019,3,81144,27413,2.9601,27413,2.9601
case_019,4,81144,24099,3.3671,24099,3.3671
case_019,5,81144,24202,3.3528,24202,3.3528
case_026,2,99203,52938,1.8739,52938,1.8739
case_026,3,99203,41655,2.3815,41655,2.3815
case_026,4,99203,43360,2.2879,43360,2.2879
case_026,5,99203,44603,2.2241,44603,2.2241
case_029,2,37555,19740,1.9025,19740,1.9025
case_029,3,37555,12743,2.9471,12743,2.9471
case_029,4,37555,11028,3.4054,11028,3.4054
case_029,5,37555,9383,4.0025,9383,4.0025
case_044,2,154407,139212,1.1092,139212,1.1092
case_044,3,154407,138802,1.1124,138802,1.1124
case_044,4,154407,138802,1.1124,138802,1.1124
case_044,5,154407,138802,1.1124,138802,1.1124
case_046,2,276455,166578,1.6596,166578,1.6596
case_046,3,276455,142176,1.9445,142176,1.9445
case_046,4,276455,148411,1.8628,148411,1.8628
case_046,5,276455,148411,1.8628,148411,1.8628
case_048,2,222220,222220,1.0,222220,1.0
case_048,3,222220,222220,1.0,222220,1.0
case_048,4,222220,222220,1.0,222220,1.0
case_048,5,222220,222220,1.0,222220,1.0
case_050,2,149690,108121,1.3845,108121,1.3845
case_050,3,149690,108134,1.3843,108134,1.3843
case_050,4,149690,108147,1.3841,108147,1.3841
case_050,5,149690,108160,1.384,108160,1.384
case_057,2,59726,30413,1.9638,30413,1.9638
case_057,3,59726,21858,2.7325,21858,2.7325
case_057,4,59726,17930,3.3311,17930,3.3311
case_057,5,59726,14549,4.1052,14549,4.1052
case_061,2,77191,40982,1.8835,40982,1.8835
case_061,3,77191,28451,2.7131,28451,2.7131
case_061,4,77191,22442,3.4396,22442,3.4396
case_061,5,77191,22283,3.4641,22283,3.4641
case_064,2,19116,19116,1.0,19116,1.0
case_064,3,19116,19116,1.0,19116,1.0
case_064,4,19116,19116,1.0,19116,1.0
case_064,5,19116,19116,1.0,19116,1.0
case_071,2,18919,18919,1.0,18919,1.0
case_071,3,18919,18919,1.0,18919,1.0
case_071,4,18919,18919,1.0,18919,1.0
case_071,5,18919,18919,1.0,18919,1.0
case_080,2,292138,145926,2.002,145926,2.002
case_080,3,292138,100325,2.9119,100325,2.9119
case_080,4,292138,105968,2.7569,105968,2.7569
case_080,5,292138,108602,2.69,108602,2.69
case_094,2,94892,47452,1.9997,47452,1.9997
case_094,3,94892,34200,2.7746,34200,2.7746
case_094,4,94892,26242,3.616,26242,3.616
case_094,5,94892,22699,4.1804,22699,4.1804
